"","way_id","sessions","points"
"1",4256484,48,691
"2",4256485,26,502
"3",4256491,8,81
"4",4256495,9,681
"5",4256507,37,214
"6",4256513,58,629
"7",4256540,49,193
"8",4257028,144,5313
"9",4259341,27,183
"10",4259343,9,108
"11",4259344,4,29
"12",4259345,20,255
"13",4306658,12,499
"14",4306660,86,2574
"15",4306661,54,1244
"16",4306662,9,158
"17",4311944,1,23
"18",4311945,14,177
"19",4311946,2,45
"20",4311949,16,1314
"21",4311951,14,134
"22",8366889,2,348
"23",8366893,23,640
"24",8366896,16,1543
"25",8366901,12,805
"26",8367054,3,125
"27",8367055,15,888
"28",8367057,3,44
"29",8367058,13,910
"30",8367068,40,888
"31",8367069,50,2597
"32",8367070,13,779
"33",8367072,6,211
"34",8367073,9,187
"35",8367089,13,749
"36",8367092,42,1940
"37",8367093,22,639
"38",8367098,6,431
"39",8367103,6,210
"40",8367104,18,1304
"41",8367114,3,12
"42",8367118,16,326
"43",8367154,8,202
"44",8367155,11,483
"45",8367160,3,55
"46",10505795,1,1
"47",10505828,2,3
"48",10505840,2,33
"49",10505865,20,413
"50",10505929,5,103
"51",10505965,2,7
"52",10505985,22,724
"53",10859484,32,4752
"54",10859534,19,40
"55",12294186,37,309
"56",12294429,9,69
"57",12296341,10,225
"58",12296354,4,9
"59",12296423,5,331
"60",12296516,45,9871
"61",12296573,20,87
"62",12296600,5,57
"63",12296720,13,123
"64",12296762,2,65
"65",12296787,41,4423
"66",12297143,24,420
"67",12297710,18,294
"68",12297977,8,9
"69",12298305,27,1298
"70",12298717,37,3228
"71",12300169,7,205
"72",12300807,37,1241
"73",12301715,23,1338
"74",12302683,44,4829
"75",12302701,19,123
"76",12302717,13,75
"77",12303132,37,1219
"78",12303323,18,1664
"79",12303407,15,315
"80",12316265,21,174
"81",12316593,14,855
"82",12318231,19,61
"83",12318407,34,124
"84",12318715,18,547
"85",12319041,1,20
"86",12319081,21,193
"87",12319252,6,128
"88",12319284,15,116
"89",12319579,7,107
"90",12319658,8,135
"91",12319876,63,1291
"92",12320269,37,1729
"93",12362807,2,6
"94",12362872,19,716
"95",12366349,4,7
"96",12381028,10,45
"97",12384345,1,3
"98",12384394,3,3
"99",12386147,2,2
"100",12386249,10,60
"101",12388490,3,30
"102",12389533,7,111
"103",12391255,49,164
"104",12542493,14,191
"105",12542494,3,133
"106",12542495,3,28
"107",12542496,3,182
"108",12542497,10,706
"109",12542498,6,530
"110",12542499,2,468
"111",12543090,5,667
"112",12543115,22,695
"113",12543140,1,14
"114",12543151,19,315
"115",12543154,1,33
"116",12543217,2,10
"117",12543263,2,10
"118",12543642,2,34
"119",12543749,19,436
"120",12543893,53,199
"121",12543986,2,100
"122",12544276,27,414
"123",12544650,7,114
"124",13258419,40,134
"125",13258445,42,588
"126",13258510,47,157
"127",13258526,67,3541
"128",13259290,13,246
"129",13262695,36,991
"130",13262770,35,92
"131",13262869,4,4
"132",13263613,17,1043
"133",13265074,30,1816
"134",13268415,6,39
"135",13268420,20,462
"136",13274522,27,1717
"137",13274748,21,1863
"138",13274800,13,734
"139",13274855,27,3564
"140",13274993,10,199
"141",13275166,1,22
"142",13275183,20,766
"143",13275275,15,61
